Entrez_Gene_Id	Tumor_Sample_Barcode
182	TCGA-02-0043-01A-01W
220	TCGA-02-0089-01A-01W
220	TCGA-02-0028-01A-01W
286	TCGA-02-0083-01A-01W
286	TCGA-02-0028-01A-01W
287	TCGA-02-0015-01A-01W-0318-08
287	TCGA-08-0354-01A-01W-0318-08
287	TCGA-02-0064-01A-01W-0206-08
301	TCGA-02-0028-01A-01W
310	TCGA-02-0083-01A-01W-0206-08
324	TCGA-02-0015-01A-01W-0318-08
472	TCGA-02-0010-01A-01W-0189-08
472	TCGA-02-0114-01A-01W-0206-08
473	TCGA-02-0114-01A-01W
477	TCGA-02-0083-01A-01W
529	TCGA-02-0083-01A-01W-0206-08
545	TCGA-02-0010-01A-01W-0189-08
675	TCGA-02-0010-01A-01W-0189-08
675	TCGA-06-0169-01A-01W-0224-08
675	TCGA-02-0014-01A-01W-0189-08
695	TCGA-06-0184-01A-01W-0254-08
780	TCGA-06-0176-01A-02W
780	TCGA-06-0143-01A-01W
796	TCGA-02-0043-01A-01W
831	TCGA-02-0043-01A-01W-0189-08
831	TCGA-02-0015-01A-01W-0318-08
862	TCGA-02-0083-01A-01W-0206-08
866	TCGA-02-0083-01A-01W
867	TCGA-02-0083-01A-01W-0206-08
867	TCGA-02-0083-01A-01W-0206-08
885	TCGA-06-0169-01A-01W
999	TCGA-06-0210-01A-01W
1029	TCGA-02-0083-01A-01W
1029	TCGA-02-0010-01A-01W
1029	TCGA-02-0114-01A-01W
1031	TCGA-06-0646-01A-01W
1103	TCGA-02-0083-01A-01W
1103	TCGA-06-0125-01A-01W
1111	TCGA-06-0145-01A-02W
1111	TCGA-02-0043-01A-01W
1136	TCGA-02-0089-01A-01W
1136	TCGA-02-0043-01A-01W
1271	TCGA-02-0083-01A-01W
1277	TCGA-02-0043-01A-01W
1277	TCGA-02-0083-01A-01W
1277	TCGA-02-0015-01A-01W
1277	TCGA-12-0619-01A-01W
1281	TCGA-02-0043-01A-01W-0189-08
1281	TCGA-02-0083-01A-01W-0206-08
