Term	Genes
hsa05200:Pathways in cancer	1436, 6469, 5579, 6772, 1956, 5578, 2033, 862, 3082, 1029, 2335, 867, 7472, 3320, 2956, 7048, 4233, 5159, 5601, 2064, 5728, 675, 2735, 5156, 1441, 3815, 324, 2322, 4193, 5925, 2737, 5727, 7157, 2260, 5290, 4089, 5294, 5295, 999
hsa04510:Focal adhesion	5579, 1956, 5578, 3082, 2335, 1289, 4233, 5159, 5601, 57144, 2064, 1281, 5728, 5156, 3371, 2321, 85366, 9564, 3791, 5170, 3690, 1301, 3611, 1793, 5290, 1277, 2909, 5294, 5295, 7057
hsa05218:Melanoma	5728, 5156, 1956, 3082, 1029, 4193, 5925, 7157, 2260, 5290, 5294, 5295, 4233, 5159, 999
hsa05213:Endometrial cancer	5290, 2064, 5728, 1956, 2309, 5170, 324, 3611, 5294, 5295, 7157, 999
hsa05214:Glioma	5728, 5579, 5156, 1956, 5578, 1029, 4193, 5925, 7157, 5290, 5294, 5295, 5159
hsa05215:Prostate cancer	5728, 2064, 5156, 1956, 2033, 5170, 4193, 5925, 7157, 2260, 5290, 3320, 5294, 5295, 5159
hsa05223:Non-small cell lung cancer	5290, 2064, 5579, 5578, 1956, 2309, 1029, 5170, 5925, 5294, 5295, 7157
hsa05212:Pancreatic cancer	5601, 2064, 675, 6772, 1956, 1029, 5925, 7157, 5290, 4089, 7048, 5294, 5295
hsa05210:Colorectal cancer	5601, 5156, 1956, 324, 7157, 5290, 4089, 2956, 7048, 5294, 5295, 4233, 5159
hsa04070:Phosphatidylinositol signaling system	5290, 5728, 5579, 5578, 3710, 79837, 5287, 8527, 5288, 5294, 5286, 5295
hsa04810:Regulation of actin cytoskeleton	57144, 5156, 1956, 324, 2335, 9564, 79837, 85366, 3690, 2264, 3683, 1793, 2260, 5290, 3689, 8826, 2909, 5294, 5295, 5159
hsa04960:Aldosterone-regulated sodium reabsorption	5290, 5579, 5578, 5170, 3643, 5294, 477, 5295
hsa04115:p53 signaling pathway	11200, 5728, 4194, 472, 545, 1111, 1029, 4193, 7157, 7057
hsa05219:Bladder cancer	2064, 1956, 1029, 4193, 5925, 7157, 7057, 999
hsa04012:ErbB signaling pathway	57144, 5601, 5290, 2064, 2065, 5579, 5578, 1956, 867, 5294, 5295
hsa05220:Chronic myeloid leukemia	5290, 1029, 4089, 867, 4193, 7048, 5925, 5294, 5295, 7157
hsa04930:Type II diabetes mellitus	5601, 5290, 5590, 3643, 5294, 6514, 5295, 5580
hsa04520:Adherens junction	2064, 1956, 8826, 2033, 4089, 3643, 7048, 4233, 999, 2260
hsa04144:Endocytosis	1436, 2065, 5156, 1956, 116986, 2321, 3791, 3815, 867, 4193, 3312, 2264, 5590, 7048, 3133, 4233
hsa04360:Axon guidance	57144, 2050, 2045, 2042, 1969, 2051, 9353, 57689, 2770, 285220, 2047, 4233, 2046
hsa04010:MAPK signaling pathway	5601, 4763, 5156, 5579, 5578, 1956, 5603, 23542, 3312, 2264, 23162, 7157, 9064, 2260, 6197, 1649, 51347, 7048, 4915, 5159
hsa04670:Leukocyte transendothelial migration	2770, 5290, 5579, 3689, 5578, 5603, 2909, 9564, 2185, 5294, 3683, 5295
hsa04020:Calcium signaling pathway	2064, 4846, 2065, 5579, 5156, 5578, 3710, 1956, 85366, 2778, 2911, 6263, 3356, 2185, 5159
hsa04540:Gap junction	2770, 3356, 5579, 5156, 5578, 1956, 3710, 2778, 2911, 5159
hsa04664:Fc epsilon RI signaling pathway	5601, 5290, 695, 5579, 5578, 5603, 5294, 5295, 5580
hsa04060:Cytokine-cytokine receptor interaction	1436, 5156, 1271, 1441, 1956, 2321, 3082, 3815, 2322, 3791, 2921, 4982, 3452, 8797, 83729, 7048, 4233, 5159
hsa04722:Neurotrophin signaling pathway	5601, 5290, 6197, 5603, 11213, 2309, 5294, 4915, 5295, 5580, 7157
hsa04110:Cell cycle	11200, 1031, 2033, 472, 545, 1111, 1029, 4089, 4193, 5925, 7157
hsa00562:Inositol phosphate metabolism	5290, 5728, 79837, 5287, 5288, 5294, 5286
hsa05217:Basal cell carcinoma	6469, 2735, 324, 7472, 2737, 5727, 7157
hsa04370:VEGF signaling pathway	5290, 4846, 5579, 5578, 5603, 3791, 5294, 5295
hsa05221:Acute myeloid leukemia	5290, 5292, 862, 3815, 2322, 5294, 5295
hsa04650:Natural killer cell mediated cytotoxicity	8797, 5290, 5579, 3689, 5578, 2185, 5294, 3683, 3133, 5295, 3452
hsa04912:GnRH signaling pathway	5601, 5579, 5578, 1956, 3710, 5603, 2185, 2778, 5580
hsa04330:Notch signaling pathway	196403, 182, 4855, 2033, 4851, 10683
hsa04062:Chemokine signaling pathway	5579, 2309, 6772, 9564, 2921, 2770, 5290, 5590, 2185, 5294, 5295, 5580, 3055
hsa04512:ECM-receptor interaction	1281, 3371, 1277, 1289, 2335, 3690, 1301, 7057
hsa04914:Progesterone-mediated oocyte maturation	2770, 5601, 5290, 6197, 3320, 5603, 5294, 5295
